movie_id,person_id
m1,p8281
m2,p8359
m3,p7187
m4,p431
m5,p7988
m6,p760
m7,p8367
m8,p138
m9,p8273
m10,p2269
m11,p7448
m12,p4470
m13,p6638
m14,p2300
m15,p1424
m16,p431
m17,p4484
m18,p8253
m19,p5090
m20,p8051
m21,p6420
m22,p7350
m23,p4078
m24,p5918
m25,p6300
m26,p4327
m27,p8757
m28,p431
m29,p3240
m30,p776
m31,p2077
m32,p385
m33,p592
m34,p1710
m35,p1424
m35,p4996
m35,p4981
m36,p2134
m37,p1748
m38,p431
m39,p2375
m40,p1530
m41,p7862
m42,p1048
m43,p1931
m44,p1279
m45,p5918
m46,p7349
m46,p4720
m47,p760
m48,p2077
m48,p6566
m49,p7854
m50,p4427
m51,p1941
m52,p385
m53,p7327
m54,p5886
m55,p7854
m56,p7327
m57,p5912
m58,p8114
m58,p2095
m59,p582
m60,p6463
m61,p2888
m62,p1277
m63,p607
m64,p7333
m65,p2889
m66,p6795
m67,p370
m68,p5886
m69,p4658
m70,p8018
m71,p3756
m72,p599
m72,p4046
m73,p6699
m74,p294
m75,p8508
m76,p5024
m77,p6774
m78,p7453
m79,p4154
m80,p7318
m81,p1151
m82,p2508
m83,p5040
m84,p3239
m85,p3633
m86,p6564
m87,p7320
m88,p1961
m89,p6719
m90,p5134
m91,p5779
m92,p7212
m93,p431
m94,p2077
m95,p7064
m96,p4280
m97,p431
m98,p8609
m99,p2104
m100,p1931
m101,p2508
m102,p2277
m103,p776
m104,p5742
m105,p8114
m106,p8114
m107,p2104
m108,p5571
m109,p3099
m110,p431
m111,p5304
m112,p6420
m113,p8659
m114,p7383
m115,p121
m116,p370
m117,p8091
m118,p777
m118,p3506
m119,p488
m120,p7168
m121,p2175
m122,p7854
m123,p7740
m124,p2663
m125,p5772
m126,p8609
m127,p1931
m128,p7327
m129,p1941
m130,p1748
m131,p202
m132,p6411
m133,p1048
m134,p4165
m135,p431
m136,p3896
m137,p2750
m138,p2507
m139,p2128
m140,p4165
m141,p5314
m142,p2736
m143,p831
m144,p1941
m145,p7333
m146,p431
m147,p1420
m148,p8292
m149,p5312
m150,p3552
m151,p1042
m152,p8596
m153,p431
m154,p5024
m155,p1902
m156,p7960
m157,p1742
m158,p2917
m159,p6774
m160,p1130
m161,p7948
m162,p3528
m163,p8281
m164,p8122
m165,p431
m166,p3895
m167,p34
m168,p8596
m169,p8367
m170,p4715
m170,p3153
m171,p5092
m171,p3204
m171,p6945
m172,p7854
m173,p3895
m174,p6456
m175,p431
m176,p776
m177,p5040
m178,p7453
m179,p7854
m180,p4358
m181,p1742
m182,p6763
m183,p3239
m184,p3240
m185,p6060
m186,p5731
m187,p1042
m188,p54
m189,p3525
m190,p3756
m191,p7915
m192,p8677
m193,p34
m194,p3026
m195,p7505
m196,p2889
m197,p1931
m198,p5918
m199,p1931
m200,p2795
m201,p1713
m202,p431
m203,p8138
m204,p4327
m205,p4327
m206,p1748
m207,p6011
m208,p3239
m209,p431
m210,p384
m211,p7327
m212,p1276
m213,p3791
m214,p8757
m215,p202
m216,p6566
m217,p1369
m217,p7327
m218,p1091
m219,p1091
m220,p2104
m221,p4165
m222,p7923
m223,p431
m224,p1130
m225,p7948
m226,p3684
m227,p3552
m228,p3193
m229,p7791
m230,p7453
m231,p431
m232,p835
m233,p7765
m234,p3334
m235,p7451
m236,p2178
m237,p7988
m238,p7349
m239,p7043
m240,p1931
m241,p3063
m242,p6456
m243,p4188
m244,p2430
m244,p7888
m245,p831
m246,p47
m247,p6689
m248,p3465
m249,p8508
m250,p7618
m251,p1276
m252,p8599
m253,p2375
m254,p5610
m255,p4514
m256,p7515
m257,p8253
m258,p3227
m259,p7854
m260,p370
m261,p1292
m261,p4720
m262,p383
m263,p4427
m264,p7270
m265,p1503
m266,p7796
m267,p1748
m268,p3002
m269,p6675
m270,p2128
m271,p5314
m272,p2959
m273,p1941
m274,p3251
m275,p3226
m276,p366
m277,p7333
m278,p431
m279,p4326
m280,p177
m281,p7115
m282,p68
m283,p1277
m284,p5040
m285,p1565
m286,p6689
m287,p2763
m288,p4271
m289,p809
m290,p3239
m291,p3157
m292,p1727
m293,p1762
m293,p8333
m294,p3723
m295,p1902
m296,p8077
m297,p4280
m298,p2269
m299,p7448
m300,p4572
m301,p4339
m302,p5912
m303,p5944
m304,p1931
m305,p431
m306,p1941
m307,p7618
m308,p1004
m309,p7948
m310,p3058
m311,p7204
m312,p8281
m313,p1627
m314,p1424
m314,p5623
m315,p7618
m316,p6105
m317,p1941
m318,p6472
m319,p1931
m320,p5314
m321,p431
m322,p6749
m323,p2763
m324,p431
m325,p880
m326,p5779
m327,p8281
m328,p2510
m329,p4327
m330,p7505
m331,p1279
m332,p7856
m333,p54
m334,p6563
m334,p8678
m335,p431
m336,p4476
m337,p7327
m338,p3204
m338,p4157
m339,p6763
m340,p8118
m341,p7177
m342,p5444
m343,p4339
m344,p431
m345,p6800
m346,p7739
m347,p8731
m348,p809
m349,p831
m350,p2909
m351,p2104
m352,p7268
m353,p4455
m354,p2430
m355,p1914
m356,p8090
m357,p3063
m358,p431
m359,p2128
m360,p5314
m361,p1004
m362,p7854
m363,p1839
m364,p3053
m365,p2888
m366,p4243
m367,p6129
m368,p1136
m368,p2096
m369,p5779
m370,p1706
m371,p431
m372,p512
m373,p2077
m374,p54
m375,p4514
m376,p1902
m377,p8289
m377,p7799
m378,p2507
m379,p4309
m380,p2178
m381,p2077
m382,p5740
m383,p2128
m384,p7854
m385,p903
m386,p3753
m387,p1689
m388,p606
m388,p8702
m388,p2592
m389,p7683
m390,p2046
m390,p7383
m390,p7296
m391,p3002
m392,p7948
m393,p8172
m394,p4326
m395,p4455
m396,p4657
m397,p2495
m398,p1565
m399,p7186
m400,p6812
m401,p6722
m402,p7333
m403,p7446
m404,p3063
m405,p6734
m406,p8018
m407,p7064
m407,p5152
m408,p281
m409,p6124
m410,p431
m411,p5804
m412,p1420
m413,p7260
m414,p431
m415,p4658
m416,p2175
m417,p917
m418,p5610
m419,p928
m420,p1277
m421,p7697
m422,p5886
m423,p3858
m424,p7256
m425,p6420
m426,p1902
m427,p6689
m428,p1566
m429,p917
m430,p7327
m431,p7854
m432,p7451
m433,p5871
m434,p1286
m435,p5040
m436,p1748
m437,p7697
m438,p6423
m439,p5886
m440,p8253
m441,p7856
m442,p5887
m443,p3336
m444,p6675
m445,p7256
m446,p4658
m447,p8018
m448,p4514
m449,p7618
m450,p1292
m451,p6749
m452,p171
m452,p2953
m453,p6774
m454,p6763
m455,p4211
m456,p3879
m457,p1706
m458,p5609
m459,p1134
m460,p8253
m461,p6456
m462,p4327
m463,p684
m464,p4724
m465,p1456
m466,p6238
m467,p3791
m468,p592
m469,p4814
m470,p737
m471,p5918
m472,p7168
m473,p7227
m474,p2635
m475,p1941
m476,p6019
m477,p4470
m478,p4401
m479,p2125
m480,p8296
m481,p6423
m482,p5772
m483,p7247
m484,p5090
m485,p7333
m486,p5804
m487,p431
m488,p1747
m489,p4476
m490,p6833
m491,p8162
m492,p4358
m493,p1042
m494,p1042
m495,p431
m496,p2104
m497,p8609
m498,p488
m499,p4514
m500,p7270
m501,p34
m502,p8547
m503,p6699
m504,p8367
m505,p4327
m506,p54
m507,p3310
m508,p2888
m509,p7451
m510,p5007
m511,p7451
m512,p5996
m513,p8659
m514,p7697
m515,p6463
m516,p7446
m516,p4353
m517,p4327
m518,p1747
m519,p8281
m520,p7446
m521,p3756
m522,p7948
m523,p7799
m524,p1135
m525,p431
m526,p6749
m527,p917
m528,p34
m529,p431
m530,p2380
m531,p3879
m532,p880
m533,p917
m534,p6689
m535,p4230
m536,p431
m537,p4339
m538,p4165
m539,p3204
m540,p3099
m541,p8697
m542,p1748
m543,p2483
m544,p1503
m545,p4327
m546,p1503
m547,p5610
m548,p281
m549,p6578
m549,p6675
m550,p8114
m551,p4165
m552,p7327
m553,p8104
m554,p1710
m555,p2909
m556,p2632
m557,p6638
m558,p7289
m559,p8051
m560,p5176
m561,p6458
m562,p431
m563,p431
m564,p7929
m565,p4326
m566,p2736
m567,p3336
m568,p431
m569,p2771
m570,p8696
m571,p5140
m572,p8193
m573,p7234
m574,p4280
m575,p7834
m576,p431
m577,p3756
m578,p5886
m579,p3239
m580,p3089
m581,p3756
m582,p1277
m583,p54
m584,p7318
m585,p2430
m586,p8437
m587,p6423
m588,p2134
m589,p7653
m590,p3004
m591,p5140
m592,p431
m593,p1931
m594,p431
m595,p2702
m596,p3552
m597,p431
m598,p545
m599,p6800
m600,p1748
m601,p54
m602,p4484
m602,p4455
m603,p609
m604,p2195
m605,p7430
m606,p5024
m607,p2819
m608,p2057
m609,p8609
m610,p1706
m611,p4724
m612,p5610
m613,p2104
m613,p7249
m614,p8584
m615,p3355
m616,p7697
m617,p2430
m618,p8311
m619,p928
m620,p6988
m621,p3707
m622,p191
m623,p7064
m624,p3723
m625,p60
m626,p4571
m627,p4280
m628,p3370
m629,p1778
m630,p2753
m631,p3684
m632,p2006
m632,p2004
m633,p7268
m634,p7168
m635,p3756
m636,p3002
m637,p6463
m638,p5912
m639,p6321
m640,p4326
m641,p2736
m642,p5048
m643,p6411
m644,p8675
m645,p2195
m646,p2819
m647,p1091
m648,p7683
m649,p8158
m650,p7349
m650,p3451
m651,p2178
m652,p7948
m653,p760
m654,p6816
m655,p3294
m656,p3063
m657,p7333
m658,p1426
m659,p4571
m660,p1048
m661,p7212
m662,p1668
m663,p5314
m664,p8359
m665,p2011
m666,p7327
m667,p2763
m668,p3204
m669,p2989
m670,p431
m671,p431
m672,p1844
m673,p4156
m674,p6717
m674,p7333
m675,p7256
m676,p5779
m677,p366
m678,p7765
m679,p2495
m680,p8296
m681,p8584
m682,p370
m683,p7349
m683,p3059
m684,p7010
m685,p6939
m686,p7176
m687,p7683
m688,p6818
m689,p7212
m690,p8325
m691,p6105
m691,p8599
m691,p1277
m691,p4468
m692,p622
m693,p8051
m694,p2046
m695,p776
m696,p4485
m697,p6271
m698,p5886
m699,p718
m700,p21
m701,p1747
m702,p7318
m703,p7837
m704,p7948
m705,p7010
m706,p809
m707,p4905
m708,p7854
m709,p1931
m710,p366
m711,p6423
m712,p431
m713,p8599
m714,p3063
m715,p2721
m716,p8372
m717,p1931
m718,p4872
m719,p6749
m720,p4658
m721,p8584
m722,p4230
m723,p2077
m724,p5035
m725,p8359
m726,p3027
m727,p431
m728,p8123
m729,p5912
m730,p1369
m731,p370
m732,p490
m732,p5365
m733,p4469
m734,p159
m735,p8058
m736,p2269
m737,p7270
m738,p431
m739,p7446
m740,p6456
m741,p5804
m742,p431
m743,p8531
m744,p3063
m745,p831
m746,p2077
m747,p7349
m747,p3571
m748,p4527
m749,p7448
m750,p4476
m751,p2104
m752,p3163
m753,p431
m754,p3756
m755,p2507
m756,p2736
m757,p6124
m758,p2381
m759,p7834
m760,p5740
m761,p8599
m762,p7318
m763,p3127
m764,p5996
m765,p5996
m766,p8690
m767,p3204
m768,p7318
m769,p431
m770,p431
m771,p1812
m772,p1134
m773,p5314
m774,p3525
m775,p3053
m776,p6722
m777,p7515
m778,p3125
m779,p1759
m780,p1941
m781,p4358
m782,p2430
m783,p8659
m783,p546
m784,p4327
m785,p1855
m786,p431
m787,p4469
m788,p7318
m789,p1844
m790,p7333
m791,p2053
m792,p8508
m793,p3978
m794,p5435
m795,p680
m796,p431
m797,p121
m798,p8596
m799,p431
m800,p3184
m801,p6566
m802,p2430
m803,p2178
m804,p4658
m805,p2982
m806,p431
m807,p5610
m808,p3369
m809,p70
m810,p1902
m811,p431
m812,p431
m813,p7062
m814,p3836
m815,p5721
m816,p8599
m817,p431
m818,p34
m819,p831
m820,p4358
m821,p7791
m822,p7444
m823,p7448
m824,p2736
m825,p431
m826,p4469
m827,p242
m828,p1277
m829,p6885
m830,p2803
m831,p3525
m832,p8609
m833,p431
m834,p2483
m835,p1042
m836,p431
m837,p370
m838,p6988
m839,p369
m840,p5245
m841,p7092
m842,p431
m843,p2626
m844,p1742
m845,p4469
m846,p5369
m847,p1710
m848,p1941
m849,p7256
m850,p4470
m851,p3791
m852,p1091
m853,p831
m854,p6763
m855,p3204
m856,p2736
m857,p7938
m858,p3791
m859,p202
m860,p7453
m861,p8437
m862,p8508
m863,p370
m864,p3127
m865,p2289
m866,p2430
m867,p1747
m868,p2454
m869,p2138
m870,p431
m871,p2909
m872,p7333
m873,p8090
m874,p2744
m875,p3240
m876,p5735
m877,p6423
m878,p6106
m879,p2847
m880,p3828
m881,p1004
m882,p7854
m883,p370
m884,p4658
m885,p3552
m886,p2473
m887,p3042
m888,p431
m889,p1747
m890,p7256
m891,p246
m892,p2134
m893,p3791
m894,p1134
m895,p6731
m896,p8508
m897,p3756
m898,p6800
m899,p7329
m900,p2430
m901,p2767
m901,p6321
m902,p431
m903,p431
m904,p2368
m905,p3552
m906,p5898
m907,p7327
m908,p5076
m909,p3004
m910,p2128
m911,p431
m912,p4339
m913,p1748
m914,p7247
m914,p1288
m915,p7448
m916,p431
m917,p4514
m918,p431
m919,p7361
m920,p4326
