movie_id,person_id
m1,p2441
m2,p3190
m2,p8140
m3,p345
m4,p5624
m5,p6861
m6,p6861
m7,p7387
m8,p6861
m9,p393
m10,p3686
m11,p9
m12,p5112
m13,p8660
m14,p7751
m15,p3686
m16,p6422
m17,p5296
m18,p1519
m19,p2748
m20,p5817
m21,p6861
m22,p1746
m23,p6125
m24,p7099
m25,p1768
m26,p2807
m27,p2619
m28,p125
m29,p5695
m30,p8430
m31,p4943
m32,p6125
m33,p1624
m34,p5937
m35,p6648
m35,p7723
m36,p5611
m37,p8329
m38,p7733
m39,p1192
m40,p7817
m40,p6588
m41,p2382
m41,p6125
m42,p8685
m43,p4354
m44,p2906
m45,p1591
m46,p1262
m46,p5870
m47,p6289
m47,p8535
m48,p3686
m49,p2376
m50,p860
m51,p3686
m52,p6125
m53,p8136
m54,p2382
m55,p2376
m56,p8136
m57,p3686
m58,p2481
m59,p5817
m60,p3686
m61,p3187
m62,p2382
m63,p2790
m64,p6861
m65,p7104
m65,p4152
m66,p419
m67,p3364
m68,p4354
m69,p5872
m70,p3686
m71,p4354
m72,p4943
m73,p418
m74,p4296
m75,p4307
m76,p8349
m77,p3659
m78,p2717
m79,p3017
m80,p8398
m81,p187
m82,p3387
m83,p4307
m84,p2705
m85,p814
m86,p7450
m87,p1884
m88,p6072
m89,p6295
m90,p765
m91,p6899
m92,p2331
m93,p3280
m93,p6762
m94,p7873
m95,p2773
m95,p245
m96,p3223
m97,p2292
m97,p2692
m98,p2072
m99,p134
m100,p134
m101,p2506
m102,p7086
m102,p7178
m103,p3358
m104,p5333
m105,p2481
m106,p4943
m107,p1731
m108,p6992
m109,p2072
m110,p1868
m111,p8430
m112,p9
m113,p7065
m114,p7802
m114,p2288
m115,p4354
m116,p3364
m117,p1432
m118,p1117
m118,p4102
m118,p7220
m118,p8095
m119,p3
m120,p6125
m121,p4673
m122,p5956
m122,p2470
m122,p1889
m123,p1798
m124,p1843
m125,p6004
m126,p3967
m127,p134
m128,p1192
m129,p4166
m130,p3187
m131,p2376
m132,p876
m133,p2376
m134,p2908
m135,p6531
m136,p3187
m137,p3967
m138,p5112
m139,p1591
m140,p3187
m141,p3966
m142,p2072
m143,p2108
m144,p499
m145,p5956
m146,p2897
m146,p5849
m147,p3306
m148,p462
