movie_id,production
m1,Paramount Pictures
m2,Warner Bros. Pictures
m2,Legendary Pictures
m2,Centropolis
m3,Metro-Goldwyn-Mayer
m4,Walt Disney Pictures
m4,Edgar Rice Burroughs Inc.
m5,TriStar Pictures
m5,Fried
m5,Woods Films
m5,Yorktown Productions
m6,Focus Features
m6,Color Force
m6,Random House Films
m7,Amiguetes Entertainment
m8,Warner Bros. Pictures
m8,Village Roadshow Pictures
m8,Vertigo Entertainment
m9,Producciones A.S.H. Films S.A.
m10,Warner Bros. Pictures
m11,Sony Pictures
m11,Lakeshore Entertainment
m12,20th Century Fox
m13,Co-production UK-France-Poland-Germany; R.P. Productions
m13,Heritage Films
m13,Studio Babelsberg
m13,Runteam Ltd.
m14,Edison Manufacturing Company
m15,Warner Bros. Pictures
m15,Legendary Pictures
m15,Blinding Edge Pictures
m16,Walt Disney Productions
m16,RKO Radio Pictures
m17,Columbia Pictures
m18,Warner Bros. Pictures
m19,Co-production USA-Austria; Castle Rock Entertainment
m19,Detour Filmproduction
m19,Filmhaus Wien Universa Filmproduktions
m19,Columbia Pictures Corporation
m20,Warner Bros.
m21,Miramax International
m21,Alliance Atlantis
m22,Universal Pictures
m22,Studiocanal
m22,Working Title Films
m23,Magnolia Pictures
m23,2929 Productions
m24,Polygram Film Entertainment
m24,Channel Four Films
m24,Working Title
m25,Amblin Entertainment
m25,Warner Bros. Pictures
m26,Miramax International
m26,Saul Zaentz production
m27,Telecinco Cinema
m27,Think Studio
m28,Walt Disney Pictures
m29,Columbia Pictures
m29,Rastar Productions
m30,Argosy Pictures
m31,Dimension Films
m32,Live Entertainment
m32,Dog Eat Dog Productions
m33,Twentieth Century-Fox Film Corporation
m34,Bad Robot
m34,Spyglass Entertainment
m34,Paramount Pictures
m35,Block 2 Pictures
m35,Paradis Films
m35,Orly Films
m36,20th Century Fox
m37,New Line Cinema
m38,Akira Committlee
m39,Summit Entertainment
m40,Polygram Filmed Entertainment
m40,Icon Entertainment International
m41,Universal Pictures
m42,Claudie Ossard
m42,UGC
m43,Universal Pictures
m43,Amblin Entertainment
m44,Columbia Pictures
m45,Co-production UK-USA; Universal Pictures
m45,Working Title Films
m45,DNA Films
m46,United Artists
m47,Co-production Australia-UK
m48,DreamWorks Pictures
m48,Paramount Pictures
m49,Warner Bros. Pictures
m50,Universal Pictures
m51,Universal Pictures
m51,Lawrence Gordon
m52,Miramax Films
m52,Band Apart
m52,Jersey Films
m53,Columbia Pictures
m53,Castle Rock Entertainment
m54,Warner Bros
m55,Warner Bros. Pictures
m56,Co-production USA-UK; DreamWorks
m56,Paramount Vantage
m56,BBC Films
m57,Warner Bros. Pictures
m58,Co-production France-USA; EuropaCorp
m58,Avalanche Productions
m58,Apipoulaï
m58,The Weinstein Company
m59,Warner Bros. Pictures; Producer: Hal B. Wallis
m60,20th Century Fox
m61,Touchstone Pictures
m62,The Mirisch Corporation
m62,Metro-Goldwyn-Mayer
m63,Toho
m64,Miramax International presents a David Brown production
m65,Co-production UK-USA; Metro-Goldwyn-Mayer (MGM)
m65,Stanley Kubrick Productions
m66,Columbia Pictures
m66,Relativity Media
m66,Overbrook Entertainment
m66,Escape Artists
m67,Co-production USA-New Zealand; Warner Bros. Pictures
m67,MGM
m67,New Line Cinema
m67,WingNut Films
