movie_id,person_id
m1,p7659
m1,p7657
m1,p1745
m1,p771
m2,p7342
m2,p3190
m2,p4299
m2,p5787
m2,p7259
m3,p52
m3,p793
m4,p8015
m5,p2037
m6,p1869
m7,p7563
m8,p1787
m9,p8751
m9,p393
m10,p1280
m11,p6323
m11,p4710
m11,p4939
m12,p7170
m13,p7376
m14,p2300
m15,p5383
m16,p8657
m16,p8055
m16,p830
m16,p2461
m16,p4114
m16,p6104
m16,p8598
m16,p2052
m16,p4100
m16,p2050
m16,p1968
m16,p8246
m16,p4347
m17,p7258
m18,p989
m19,p7085
m19,p4916
m20,p8550
m20,p3169
m21,p4252
m22,p1953
m23,p3653
m23,p7009
m24,p7044
m25,p1358
m26,p501
m27,p6471
m28,p4297
m28,p7355
m29,p589
m30,p3661
m31,p4978
m32,p6843
m33,p5002
m34,p184
m34,p7288
m35,p8667
m36,p6720
m37,p198
m37,p5116
m37,p1886
m38,p4771
m38,p3494
m39,p5859
m40,p4911
m41,p4261
m41,p1654
m42,p3120
m42,p3854
m43,p5921
m43,p1846
m44,p3169
m45,p7044
m46,p1262
m47,p6289
m48,p7947
m49,p95
m50,p864
m50,p3401
m51,p1909
m51,p6736
m52,p6843
m52,p7323
m53,p2696
m54,p970
m54,p7484
m54,p3898
m54,p6739
m55,p5087
m55,p3751
m55,p95
m56,p4678
m57,p1865
m57,p3865
m58,p5305
m58,p1626
m58,p6514
m59,p4662
m59,p6780
m59,p3360
m60,p23
m61,p6756
m62,p8633
m63,p94
m63,p7725
m63,p3330
m64,p7240
m65,p7829
m65,p580
m66,p3085
m67,p2642
m67,p6793
m67,p6721
m67,p3129
m68,p675
m69,p4707
m70,p5383
m71,p7933
m71,p3420
m72,p4978
m73,p1854
m74,p180
m75,p8544
m75,p2145
m76,p8723
m76,p4974
m76,p5940
m77,p4210
m77,p8047
m77,p8086
m78,p927
m79,p6421
m80,p6421
m80,p1436
m80,p4995
m81,p6644
m81,p8416
m82,p7344
m82,p3689
m83,p5464
m84,p4467
m85,p8004
m86,p1811
m87,p8170
m88,p6072
m89,p8121
m89,p4508
m89,p3106
m90,p2258
m91,p591
m91,p5752
m91,p5599
m91,p3254
m92,p1857
m93,p4816
m93,p1469
m94,p3668
m95,p122
m96,p8626
m97,p5034
m98,p3646
m99,p8595
m100,p4494
m100,p1228
m101,p1645
m102,p836
m102,p2106
m103,p3702
m103,p8650
m104,p6434
m104,p2487
m105,p5305
m105,p7233
m106,p4194
m106,p5933
m106,p6071
m106,p4319
m107,p1846
m108,p5338
m108,p5736
m109,p4049
m109,p6350
m110,p5951
m110,p6682
m110,p5892
m111,p1
m112,p6673
m113,p2714
m113,p5065
m114,p572
m115,p5072
m115,p2921
m116,p6721
m116,p2654
m116,p6793
m117,p6433
m117,p3480
m118,p1077
m118,p1534
m119,p7762
m120,p2695
m121,p8307
m121,p1191
m122,p3888
m123,p2258
m123,p4344
m124,p7699
m124,p5655
m124,p1065
m124,p6765
m124,p3773
m124,p7
m125,p2468
m125,p3500
m126,p5111
m126,p1076
m127,p898
m128,p4124
m128,p2532
m129,p5895
m130,p8047
m130,p8086
m131,p8519
m131,p1818
m132,p1678
m133,p2047
m133,p3411
m134,p1737
m134,p3203
m135,p5589
m135,p7910
m135,p963
m135,p3454
m136,p7272
m137,p1645
m137,p5271
m138,p6982
m139,p1596
m139,p695
m140,p5590
m140,p3665
m141,p8509
m141,p7519
m142,p728
m143,p405
m143,p5006
m143,p8500
m144,p4222
m145,p8081
m145,p8254
m145,p1285
m146,p830
m147,p2769
m148,p1861
m149,p2667
m150,p1916
m151,p5904
m151,p2002
m152,p7524
m152,p3201
m153,p380
m153,p1700
m154,p203
m154,p1829
m155,p2921
m156,p4980
m157,p5965
m158,p1622
m159,p3496
m159,p1866
m160,p1711
m160,p4438
m161,p1167
m162,p7659
m162,p8495
m162,p3596
m163,p71
m163,p2791
m163,p5313
m163,p7659
m164,p1023
m164,p6959
m165,p8197
m165,p1389
m165,p6626
m166,p6273
m167,p4892
m167,p1396
m168,p1295
m169,p6056
m169,p4080
m170,p8101
m171,p724
m171,p1872
m171,p6415
m172,p6538
m173,p2315
m174,p6935
m174,p4250
m175,p932
m176,p2194
m177,p1654
m177,p3203
m177,p7121
m178,p2194
m178,p3156
m179,p6719
m180,p1545
m181,p1421
m181,p5965
m182,p7919
m183,p3487
m184,p7184
m184,p1868
m185,p3623
m186,p1871
m187,p6095
m187,p7603
m188,p362
m188,p7044
m188,p23
m188,p3282
m189,p1090
m189,p1642
m190,p1846
m191,p7008
m192,p5464
m193,p3623
m193,p2817
m194,p7170
m194,p897
m195,p95
m196,p3809
m196,p3386
m197,p898
m197,p7284
m198,p2427
m199,p821
m200,p4569
m200,p2268
m201,p7676
m202,p7886
m202,p7364
m203,p6587
m204,p501
m205,p8249
m206,p1651
m206,p4332
m207,p4503
m207,p5187
m208,p122
m209,p7886
m209,p7364
m209,p8015
m209,p1022
m210,p3082
m211,p95
m212,p864
m212,p2509
m213,p5859
m214,p7658
m215,p7409
m215,p4171
m216,p7610
m217,p1825
m218,p2958
m219,p5846
m219,p749
m220,p862
m220,p739
m221,p5072
m221,p5613
m222,p1290
m223,p4120
m223,p1866
m223,p3497
m224,p7563
m225,p4444
m225,p7568
m226,p1598
m227,p2948
m227,p5303
m227,p645
m228,p1216
m229,p5939
m230,p1645
m231,p7926
m231,p2254
m231,p4090
m232,p6930
m232,p7946
m232,p8725
m233,p3886
m233,p95
m234,p2226
m234,p8249
m235,p5111
m235,p4606
m236,p5864
m236,p6377
m237,p3871
m237,p6369
m237,p1888
m238,p1262
m239,p36
m240,p7719
m240,p1944
m241,p2661
m241,p5569
m242,p8408
m243,p7432
m244,p5047
m245,p405
m245,p5006
m245,p8500
m246,p895
m247,p7339
m248,p927
m249,p1448
m249,p4411
m250,p4513
m251,p864
m251,p3401
m252,p7228
m252,p927
m253,p3999
m253,p4967
m254,p2920
m254,p1268
m254,p1804
m255,p2290
m256,p3228
m256,p6453
m256,p7519
m257,p3501
m258,p793
m258,p52
m259,p360
m260,p95
m260,p5634
m261,p1121
m262,p2007
m262,p1099
m262,p4143
m263,p1916
m263,p3172
m264,p1090
m264,p1060
m265,p2479
m266,p14
m266,p2986
m267,p5206
m268,p292
m269,p1183
m269,p5968
m270,p438
m270,p359
m270,p1442
m270,p7864
m271,p8611
m271,p276
m271,p3222
m272,p2871
m272,p5844
m273,p5846
m273,p2582
m274,p883
m274,p5071
m275,p1281
m276,p1084
m276,p404
m276,p7095
m277,p7902
m278,p5751
m278,p3665
m278,p7527
m278,p4336
m278,p1662
m278,p1922
m278,p7021
m278,p3918
m278,p5766
m278,p4386
m278,p811
m278,p99
m279,p1582
m279,p5536
m280,p3797
m281,p1461
m281,p3434
m282,p6641
m283,p5138
m284,p2216
m284,p5493
m285,p8608
m286,p8079
m286,p4031
m287,p4316
m287,p5716
m288,p6369
m288,p1970
m289,p4015
m289,p3532
m289,p3183
m290,p2509
m291,p2633
m292,p8628
m293,p6304
m293,p7890
m293,p890
m293,p5593
m294,p3865
m294,p7921
m295,p2921
m295,p4405
m296,p8081
m296,p4185
m296,p5979
m296,p3077
m296,p2475
m296,p8082
m297,p1815
m297,p4274
m297,p8628
m298,p7902
m299,p4162
m300,p6050
m301,p6906
m302,p6614
m303,p4793
m303,p1776
m303,p8573
m304,p6288
m304,p5428
m305,p1383
m306,p7342
m306,p3190
m307,p4232
m308,p2644
m308,p1770
m308,p5687
m309,p7368
m310,p6685
m311,p6622
m312,p6878
m312,p5349
m312,p2440
m313,p957
m314,p8667
m315,p1433
m316,p4467
m317,p3681
m317,p2927
m318,p75
m319,p3898
m319,p6739
m320,p4190
m320,p2259
m321,p3898
m321,p6739
m321,p4388
m321,p3496
m321,p4120
m321,p1866
m322,p6906
m323,p1854
m323,p2465
m323,p1422
m324,p3454
m324,p4416
m324,p5206
m325,p3028
m326,p1753
m326,p549
m327,p7659
m327,p5153
m327,p6811
m327,p2444
m327,p2674
m327,p2678
m328,p5896
m328,p147
m329,p7902
m330,p1513
m330,p95
m331,p2714
m332,p7272
m332,p1846
m333,p7872
m334,p1664
m334,p7161
m334,p6485
m335,p8015
m335,p3454
m335,p911
m335,p6366
m335,p4416
m336,p122
m337,p365
m338,p793
m338,p52
m339,p3169
m339,p5901
m339,p2008
m340,p4406
m340,p3094
m340,p4032
m341,p3530
m342,p4561
m342,p6053
m342,p5349
m343,p1910
m343,p12
m344,p5593
m344,p854
m345,p6076
m345,p3139
m345,p503
m346,p6350
m346,p5680
m347,p8669
m348,p1020
m348,p270
m349,p293
m350,p7463
m350,p2831
m351,p2479
m352,p6787
m353,p4009
m353,p1926
m353,p3975
m354,p8074
m355,p4975
m356,p7077
m356,p7931
m357,p8669
m357,p5659
m358,p7968
m358,p1032
m358,p911
m358,p6366
m359,p1596
m359,p695
m360,p5519
m361,p5093
m362,p7673
m363,p4349
m364,p4659
m365,p630
m366,p1358
m367,p184
m367,p7288
m368,p1415
m368,p6796
m369,p4285
m369,p5607
m369,p357
m370,p864
m370,p3401
m371,p4513
m371,p380
m371,p4125
m371,p165
m372,p8684
m373,p4006
m373,p4359
m373,p1444
m374,p7872
m375,p4098
m376,p2696
m377,p6379
m377,p7666
m378,p7741
m378,p6414
m378,p724
m378,p4049
m378,p4345
m379,p6090
m380,p3046
m380,p8617
m381,p6006
m381,p501
m382,p5587
m382,p1772
m383,p6907
m383,p5170
m384,p2661
m384,p8621
m384,p5569
m385,p3354
m386,p4915
m387,p6685
m388,p94
m388,p8708
m389,p380
m389,p906
m389,p1883
m390,p6679
m390,p4824
m391,p7829
m391,p8089
m391,p6710
m392,p4837
m392,p6753
m392,p3203
m393,p5883
m394,p1917
m394,p2171
m394,p5636
m395,p133
m396,p8751
m397,p2846
m397,p1788
m397,p2496
m397,p4822
m398,p7034
m399,p4583
m400,p1744
m400,p2673
m400,p217
m401,p4023
m401,p4232
m402,p1877
m402,p3749
m403,p6584
m403,p7863
m404,p8669
m404,p5659
m405,p3392
m405,p3694
m405,p4972
m406,p5383
m407,p5144
m407,p5847
m408,p7872
m409,p6746
m410,p8047
m410,p8086
m410,p4120
m410,p7335
m411,p3623
m412,p4009
m412,p1926
m412,p3975
m412,p5693
m413,p2708
m413,p7260
m414,p932
m415,p6484
m415,p5928
m416,p6654
m416,p4350
m417,p7882
m417,p7977
m417,p4793
m418,p6706
m418,p914
m418,p2222
m418,p4253
m419,p8618
m420,p3688
m421,p3773
m421,p7
m422,p3805
m422,p5683
m423,p5747
m423,p712
m424,p4274
m425,p8072
m425,p2371
m426,p2921
m427,p376
m428,p112
m429,p4684
m429,p274
m429,p1360
m430,p6242
m430,p7274
m430,p4274
m431,p8037
m432,p3352
m433,p2939
m433,p6161
m434,p3509
m435,p7375
m436,p8047
m436,p8086
m437,p3773
m437,p7
m438,p8290
m439,p8626
m440,p2845
m440,p7983
m440,p862
m441,p1857
m442,p42
m442,p4583
m442,p7266
m443,p4779
m444,p4162
m444,p1183
m444,p6485
m445,p6843
m446,p4773
m446,p3900
m447,p7368
m448,p2290
m448,p5971
m449,p1825
m450,p7378
m450,p2910
m451,p4402
m452,p558
m452,p930
m452,p356
m453,p6242
m453,p7274
m453,p6587
m454,p1699
m454,p2777
m455,p1260
m455,p864
m455,p1632
m456,p4035
m457,p3628
m457,p8499
m458,p4696
m458,p4939
m459,p8669
m460,p6306
m461,p4480
m462,p886
m462,p4430
m462,p1133
m462,p2167
m463,p6369
m464,p1933
m464,p7342
m465,p7085
m465,p4641
m465,p2534
m466,p1712
m466,p2270
m467,p8669
m468,p8592
m468,p8638
m469,p1764
m469,p8004
m470,p7608
m470,p5945
m471,p7044
m472,p5038
m473,p6382
m473,p1851
m473,p491
m474,p1120
m475,p7909
m475,p5631
m475,p7903
m476,p5305
m476,p7233
m477,p7543
m477,p8658
m478,p8570
m478,p3936
m479,p7909
m480,p7465
m481,p8290
m481,p7615
m481,p2928
m482,p1678
m483,p7173
m484,p7085
m484,p2534
